NHx-deposition	mg N/m2/year		im = 72		jm = 48		year1860			
	2.31	3.29	3.44	1.64	1.77	1.31	1.49	1.5	1.47	1.61
	1.4	1.68	1.48	1.53	1.41	1.19	1.35	1.83	1.37	1.81
	2.35	2.06	1.79	2.22	1.81	1.1	0.16	0.16	0.13	0.24
	0.69	0.56	0.52	0.17	0.16	0.23	0.24	0.37	0.56	0.68
	0.62	0.59	0.53	0.46	0.47	0.69	1.27	1.48	1.49	2.2
	2.59	2.82	3.72	3.61	2.39	2.45	2.64	1.73	2.35	1.69
	1.76	1.44	1.19	1.06	2.17	2.88	2.83	2.55	1.92	1.89
	1.6	1.16	0.83	0.52	2.49	2.56	0.73	0.17	1.43	1.62
	1.88	1.56	1.87	2.16	1.96	1.96	2.11	2.28	2.49	2.57
	2.59	2.66	2.72	2.7	2.87	2.79	3.27	3.73	3.61	2.75
	2.68	2.7	2.54	2.46	2.09	1.83	1.68	1.53	1.5	1.7
	1.75	2.13	2.36	2.22	2.23	2.28	2.35	3	2.64	2.95
	3.48	3.78	3.67	2.74	4.81	4.77	3.67	2.5	2.74	2.3
	2.05	2.48	2.84	3.94	4.23	4.11	4.14	3.91	4.31	3.94
	4.06	4.09	3.09	2.37	1.49	1.81	1.4	1.75	1.6	1.13
	1.59	1.44	1.51	1.85	2.06	2.44	3.19	2.58	2.7	2.88
	3.13	3.26	3.39	3.52	3.75	3.22	3.2	3.24	3.47	3.68
	3.82	3.46	3.78	3.81	4.18	4.04	3.21	2.38	2.55	2.2
	2.38	2.72	3.13	3.72	3.4	3.86	3.6	3.65	4.18	4.53
	4.46	4	4.33	4.06	3.52	3.44	3.65	3.87	4.06	3.8
	3.16	2.27	2.77	3.18	3.44	3.36	4.11	4.84	4.94	5.53
	5.62	5.23	4.81	3.63	3.31	2.83	2.88	4.24	2.92	1.64
	1.77	1.74	2.06	2.02	2.08	1.39	1.79	1.63	1.33	1.2
	1.7	2.24	1.99	1.79	1.86	2.03	1.58	2.15	2.54	2.57
	2.75	2.61	2.7	2.44	2.64	2.69	2.55	2.02	1.47	2.24
	2.1	1.77	1.58	1.74	1.37	1.89	1.74	2.15	2.22	2.07
	2.56	2.31	3.11	3.07	2.58	2.95	3.32	3.29	4.42	5.48
	5.57	4.59	4.11	3.22	3.22	3.49	3.93	4.59	5.61	5.47
	4.87	5.07	6.91	6.36	5.17	4.63	3.49	3.83	4.59	8.66
	3.36	-0.54	0.89	1.1	1.27	1.51	2.64	2.8	3.1	2.99
	3.34	2.12	2.06	1.69	1.96	2.07	2.16	1.69	2.04	2.92
	3.86	3.82	3.85	3.96	4.22	4.09	3.6	3.62	3.12	2.31
	2.38	3.14	3.31	3.6	2.66	2.46	2.16	2.32	2.87	3.62
	4.38	4.15	4.32	4.25	5.82	5.97	4.57	5.17	4.37	3.17
	1.41	2.05	6.25	5.32	4.94	4.28	4.46	4.83	4.58	2.93
	3.06	3.12	2.66	2.64	3.05	4	3.04	2.07	2.19	1.75
	3.54	9.53	-0.6	5.24	-2.9	-0.13	0.49	2.26	2.74	3
	2.35	2.03	2.15	2.2	1.01	0.69	1.59	1.55	1.29	1.75
	2.54	3.56	5.28	5.26	5.62	3.44	4.12	4.31	3.17	3.7
	1.44	1.6	2.9	4.25	5.18	6.26	4.31	3.75	2.48	2.75
	2.8	5.29	5.75	6.24	5.28	6.18	6.07	6.7	6.61	6.39
	4.51	-0.31	2.4	4.65	4.85	3.82	3.37	2.31	2.68	2.53
	2.93	3.14	1.84	1.79	1.61	2.16	2.36	2.04	1.98	1.64
	1.36	0.55	-0.08	6.5	-3.59	3.35	-2.18	0.83	1.24	2.62
	1.29	2.06	2.26	1.85	1.58	1.29	-0.04	-0.22	1.3	1.43
	1.67	2.35	3.29	3.2	3.06	3.84	4.36	3.9	2.66	3.18
	2.83	2.32	1.61	2.22	2.81	4.05	5.02	4.83	5.13	4.94
	4.98	4.01	3.33	4.69	6.21	7.38	5.97	7.89	9.68	8.02
	8.09	26.1	109.91	8.39	3.25	3.13	3.02	0.6	0.13	0.15
	1.03	0.45	0.39	0.7	0.22	-0.67	-0.46	-0.07	0.19	0.09
	-0.26	-0.72	-2.03	-2.64	-3.29	-0.38	-4.15	2.54	-3.81	-0.23
	1.43	0.59	0.41	1.65	-0.01	-0.61	-1.17	-1.06	-0.71	-1.01
	-2.06	-0.92	1.35	1.76	1.86	0.36	2.38	2.58	2.03	1.99
	1.19	2.71	3.34	1.24	-0.41	-0.58	-0.04	0.4	0.39	0.36
	0.25	0.04	0.85	0.45	0.11	2.25	3.59	3.27	4.59	45.53
	11.06	10.67	8.18	5.28	54.17	70.73	2.28	-0.34	0.39	-0.25
	0.1	-0.69	-0.31	-0.56	-0.65	-0.24	-1.72	-2.77	-1.16	-1.94
	-0.56	-0.22	-0.86	-1.56	-2.68	-3.37	-4.35	-3.55	-6.14	-0.61
	5.31	1.53	5.08	2.43	2.06	2.34	1.98	1.72	0.29	-0.28
	-1.65	0.41	0.09	-0.13	-0.18	0.03	2.41	-0.44	0.88	2.68
	2.82	1.28	0.32	0.6	1.22	0.66	-0.3	-0.96	-0.89	-0.78
	-2.37	-2.44	-2.15	-2.02	-1.02	-0.37	1.54	2.15	0.65	1.74
	64.02	125.4	31.09	13.6	6	1.42	4.04	88.81	8.37	-8.78
	-1.68	-1.68	-0.99	-0.14	0.94	0.14	0.6	2.25	0.35	0.89
	1.95	1.19	1.81	0.5	-1.29	-1.38	-2.3	-2.22	-1.49	1.26
	7.91	-2.86	-2.98	19.46	1.85	1.35	-1.15	2.37	-1.25	-2.38
	-4.02	-2.39	-4.43	-3.74	-5.92	-5.97	-8.71	-7.33	-3.86	0.09
	-1.32	-0.72	-6.27	-6.45	-3.76	-2.86	-8.15	-9.75	-3.81	-3.89
	-4.65	-5.6	-4.99	-4.68	-4.75	-5.12	-8.32	1.98	1.48	0.98
	0.74	15.4	81.72	91.55	34.05	6.84	4.76	-1.02	7.06	13.23
	-5.03	-3.33	-2.94	-1.77	-0.69	0.54	1.53	1.86	2.49	3.66
	3.81	4.93	4.51	4.03	4.37	2.36	-0.05	-0.68	-1.55	0.41
	-0.14	-0.9	9.09	3.97	0.24	27.32	10.82	6.89	10.73	7.18
	4.32	0.63	-0.97	0.06	-0.09	-2.46	-5.01	-7.99	-11.02	-6.99
	-3.17	-2.32	1.59	0.49	0.3	2.12	1.44	-1.45	-3.06	-3.64
	-3.82	-4.59	-4.02	-4.62	-5.99	-6.85	-7.09	-8.33	-7.24	-1.47
	-24.8	-11.83	2.64	4.59	14.82	54.01	61.97	2.81	0.32	-4.13
	-7.39	-6.7	-0.21	-1.1	0.33	3.1	4.88	5.33	5.27	5.02
	4.6	5.58	5.98	5.8	5.32	6.02	6.05	2.57	2.05	1.65
	1.29	1.28	-0.02	-2.37	-2.24	15.47	-8.1	27.85	28.4	8.82
	12.67	11.4	8.56	6.66	5.46	3.41	2.31	0.28	-3.97	-10.61
	-13.88	-5.6	0.73	8.17	4.77	-4.93	-1.47	4.42	3.01	3.7
	4.24	1.25	-0.47	-0.73	-1.72	-3.11	-2.3	-3.64	-5.47	-6.14
	-1.19	-13.65	-32.68	-22.65	-10.28	-15.23	-20.15	-18.44	10.17	-9.54
	-4.08	-0.27	-1.94	0.11	-2.16	4.28	1.95	3.39	5.01	5.31
	5.98	5.1	5.11	5.63	5.72	5.11	3.66	5.58	3.21	1.86
	1.64	1.46	1.72	0.63	0.84	0.9	-2.88	-2.01	-5.62	24.85
	23.88	23.19	-0.09	8.55	5.99	4.73	2.58	2.5	2.74	2.42
	-1.17	-10.09	-10.13	0.12	14.02	11.84	-4.79	-2.79	3.29	-0.96
	-2.08	3.7	3.39	0.55	0.18	-0.27	0.32	1.36	0.21	2.43
	0.05	2.9	6.75	-21	-16.79	1.19	-0.73	-23.36	-4.22	-8.3
	-7.24	8.84	-5	-4.52	-3.56	-0.32	7.02	8.5	6.12	2.4
	5.11	4.06	3.33	3.27	3.96	5.86	3.43	2.44	1.57	-1.48
	-1.57	-2.62	-2.97	-2.4	-2.65	-3.95	-7.21	-2.77	-2.39	2.93
	-16.99	20.01	22.09	14.49	-1.44	-3.47	2.66	2.82	2.33	1.89
	2.17	0.07	-6.41	-12.19	-11.02	11.58	17.68	8.27	-8.37	-15.68
	4.59	1.6	-4.19	6.34	3.34	3.39	3.33	3.25	3.94	3.85
	4.25	4.63	5.09	1.81	0.68	8.99	7.91	11.87	9.25	-14.91
	-7.62	-28.97	0.48	-10.28	-8.63	3.67	4.9	6.43	8.14	9.09
	5.38	5.53	6.58	9.44	7.27	8.4	10.02	9.28	2.48	1.59
	-2.3	-4.62	-8.28	-10.09	-10.22	-9.42	-10.33	-13.76	-16.89	-7.42
	30.2	18.54	-10.43	14.03	36.11	0.6	-18.3	4.61	1.98	0.83
	-0.63	-1.79	-0.01	0.25	-3.75	-10.47	-5.99	13.45	-8.21	-20.65
	-16.58	-24.66	-4.89	7.93	-3.79	3.59	0.55	0.77	0.03	0.7
	3.79	2.75	3.28	3.8	1.45	0.04	-2.73	3.07	8.58	11.67
	-19.41	-22.15	6.83	-29.48	15.05	3.51	-1.16	5.04	5.29	8.09
	10.77	8.96	7.41	6.93	9.31	7.37	8.42	7.62	1.64	-0.57
	-8.03	-11.82	-15.65	-17.33	-20.06	-18.81	-20.55	-19.16	-20.53	-23.37
	-13.09	37.87	9.88	0.38	10.6	-7.7	8.3	-13.06	-31.9	4.7
	1.3	-0.82	-0.74	0.2	1.98	2.65	-1.27	-5.19	-2.24	17.58
	-2.05	-19.36	6.91	-35.25	-21.91	11.23	-6.57	-1.61	-2.98	-2.41
	-3.83	-3.49	0.87	1.29	2	-0.23	3.6	8.22	8.49	12.06
	16.15	11.03	-2.08	-22.98	9.46	-8.56	-15.63	-11.66	-6.34	-3.92
	-2.51	6.67	8.55	9.8	10.92	25.85	14.28	7.91	11.84	3.64
	-1.35	-0.84	-6.66	-9.85	-12.97	-13.45	-15.78	-16.02	-15.24	-14.28
	-15.46	-14.29	25.05	13.47	-25.18	-0.03	5.43	-3.7	22.93	-2.63
	-61.28	-19.11	5.37	-3.94	-4.38	-4.19	-3.65	-2.46	-3.47	-5.27
	6.44	18.66	14.41	-1.92	-23.12	-15.08	-7.32	4.5	0.27	1.12
	3.1	1.5	3.32	3.06	7.2	6.81	11.02	12.57	21.15	26.95
	26.52	25.16	7.59	9.64	8.26	-13.74	5.93	6.17	10.74	2.63
	8.23	-0.61	3.8	13.19	-2.06	5.78	4.1	13.01	-3.32	-5.42
	-2.11	-8.39	-8.97	-5.38	-8.6	-9.99	-7.92	-10.23	-9.97	-10.1
	-9.81	-8.82	-7.37	-11.23	43.98	-29.16	-36.96	-30.79	-13.07	-1.13
	17.96	32.43	-44.95	-22.29	-6.57	-2.27	-5.83	-8.69	-7.19	-5.23
	-0.28	1.92	13.5	10.54	32.53	62.81	-2.78	-15.77	-1.42	4.1
	0.56	2.11	5.28	5.53	6.69	5.42	6.52	10.05	11.77	22
	42.5	14.85	4.04	19.56	27.3	4.8	2.64	7.64	-6	-18.54
	-3.35	8.02	12.82	7.28	13.28	10.19	-2.84	-0.94	-3.19	-0.62
	-6.97	-9.57	-8.78	-9.43	-9.53	-9.06	-8.12	-8.8	-9.37	-7.82
	-6.68	-6.42	-5.63	-7.26	-6.16	-1.94	64.18	13.08	-31.25	-50.66
	-6.69	-20.23	6.14	11.95	-6.42	14.32	13.94	11.69	8.84	3.57
	6.77	5.21	11.21	12.53	12.28	13.43	21.75	59.41	28.15	20.88
	-27.55	-1.07	1.04	4.98	8.03	6.15	6.53	8.42	6.64	7.26
	5.9	20.32	38.88	-21.44	0.75	-33.47	10.95	13.32	18.73	16.32
	-6.73	14.68	2.12	-0.09	1.63	-0.95	17.47	6.9	11.11	4.81
	2.1	11.32	1.35	1.56	3.78	0.76	3.04	4.01	-2.44	0.6
	6.03	-0.14	-1.09	6.39	5.59	9.82	22.85	29.31	75.95	75.48
	18.35	-18.11	4.43	-9.92	5.86	27.02	25.98	32.44	39.73	35.57
	30.84	24.32	37.15	24.67	14.31	38.41	25.97	-1.36	8.14	10.92
	17.85	-5.41	-28.86	-13.51	8.7	8.65	12.7	7.39	7.65	11.06
	10.57	6.77	5.54	16.98	19.16	10.18	15.1	-39.66	10.57	19.31
	16.02	7.3	2.65	-0.12	18.06	5.7	5.04	3.2	20.89	9.33
	17.74	9.31	6.15	20.32	15.88	15.97	23.03	17.9	21.66	29.42
	21.08	18.72	28.22	16.82	15.9	21.15	18.21	24.37	30.94	36.62
	72.65	74.16	24.45	-18.01	-0.03	-15.36	13.44	24.54	27.32	30.75
	36.55	34.35	29.53	53.64	68.62	31.97	21.82	50.35	29.09	5.24
	7.14	-9.12	12.88	57.43	11.74	-34.65	6.21	19.31	23.99	27.06
	22.08	48	105.94	26.9	12.93	7.14	16.04	26.33	16.96	-0.07
	24	37.73	19.97	12.55	12.35	7.43	19.66	20.4	6.94	16.92
	18.83	13.48	8.51	4.94	6.05	10.09	11.94	10.5	10.53	9.25
	10.11	16.58	18.9	17.12	20.27	20.68	12.02	11.02	10.84	10.24
	8.17	19.32	22.43	4.69	-8.2	-2.73	-9.7	10.03	7.57	11.93
	14.82	20.54	17.57	16.91	18.92	53.96	17.25	-16.14	-4.04	13.2
	-7.85	-13.6	20.56	-3.67	-2.99	79.79	-4.62	-17.96	12.82	5.59
	18.72	23.21	28.88	352.2	167.91	24.88	14.04	12.83	6.72	82.15
	13.11	13.45	17.86	11.94	15.69	11.59	9.15	5.49	4.71	13.23
	0.07	7.3	1.63	9.66	-4.17	-7.6	-4.71	-4.08	-2.92	-2.46
	-0.86	-1.85	-0.55	-0.48	-0.49	-1.66	-4.49	-4.55	-4.56	3.03
	8.9	18.96	31.62	7.58	29	-0.03	-11.67	-1.29	3.85	-0.3
	0.43	5.75	9.96	11.18	9.06	4.59	9.2	1.63	-14.7	-36.1
	-35.44	-44.07	-40.71	-32.42	21.09	1.59	-30.08	-5.42	-20.59	13.03
	-14.21	-3.75	7.82	12.25	45.43	458.87	131.22	34.67	31.83	26.55
	27.82	26.65	5.46	13.25	28.63	4.71	7.53	6.94	4.21	4.62
	2.31	0.8	-1.86	1.2	-0.39	-0.54	-9.53	-13.49	-12.46	-12.2
	-14.31	-11.54	-14.36	-15.52	-16.28	-15.01	-12.12	-9.75	-6.43	-3.32
	-0.18	4.64	-3.28	18.37	39.36	-19.72	7.65	5.89	11.63	3.55
	5.05	6.66	9.29	10.04	8.07	7.45	5.44	1.85	2.06	-24.41
	-47.86	-49.83	-66.77	-37.25	-26.01	-11.29	-2.83	-10.12	-25.43	-37.36
	-7.9	-16.96	-19.9	-11.7	-10.36	-0.56	95	502.14	417.17	74.63
	60.91	190.51	48.29	41.47	22.28	8.28	23.03	9.21	10.83	9.55
	9.03	4.8	4.19	0.98	-2.75	-4.27	-5.2	-7.25	-8.09	-10.11
	-12.76	-12.25	-16.01	-12.25	-12.49	-11.02	-9.29	-6.15	-3.94	-2.26
	-0.72	0.09	3.61	-7.45	3.12	-4.03	25.18	-2.13	2.07	-6.48
	4.77	4.14	9.25	8.01	10.86	9.1	6.17	5.42	4.53	1.73
	-2.73	-9.45	-8.35	-6.28	-16.84	-10.39	-8.72	-5.03	-9.3	-7.1
	-11.95	-10.85	-7.98	-16.97	-8.87	-6.67	-11.51	4.89	269.83	495.08
	516.02	745.42	569.22	157.66	58.08	84.1	77.19	31.23	10.27	8.48
	9.85	9.49	8.09	6.51	5.72	7.78	3.98	1.01	-2.17	-6.5
	3.31	2.32	1.81	2.09	1.99	0.83	0.93	2.06	3.87	4.87
	3.14	3.33	2.21	2.54	-0.47	-2.66	4.52	11.28	9.21	4.2
	12.01	2.25	8.07	9.28	11.01	10.74	10.24	7.82	4.82	2.4
	3.68	3.06	2.11	-1.71	-7.22	-7.57	-10.12	-7.83	-2.24	-6
	-5.07	-2.72	10.06	-0.95	-10.42	-12.75	-1.29	-2.4	25.01	158.45
	157.1	446.61	809.74	876.8	840.88	86.97	45.38	78.66	86.69	68.96
	29.2	7.59	2.81	0.74	0.1	1.96	5.47	5.7	5.04	5.32
	5.38	3.14	4.02	2.9	2.47	2.7	4.24	3.82	3.56	4.52
	5.04	4.98	3.46	2.9	4.68	1.97	-7.06	5.54	39.66	35.06
	30.25	48.18	20.93	5.87	4.23	6.34	9.72	11.66	8.41	6.66
	5.41	4.82	5	4.43	3.86	3.69	-2.64	-7.72	-6.14	-7.57
	-3.45	-5.07	-6.27	-3.56	0.91	-2.67	-7.35	-5.07	10.57	2.28
	9.3	129.44	159.91	730.61	632.23	136.25	60.94	109.5	48.31	105.4
	90.16	100	59.83	10.65	7.68	3.58	3.88	2.9	2.91	6.32
	7.7	4.9	4.1	4.02	1.96	1.2	1.03	0.49	1.24	2.67
	3.46	3.2	4.04	4.37	2.61	3.09	46.56	17.27	2.89	29.33
	58.44	50.29	93.06	84.04	32.67	13.48	4.04	1.83	-0.36	1.92
	1.62	2.75	4.6	4.75	3.89	4.43	4.22	4.96	3.59	-3.77
	-14.15	-10.69	-4.25	1.24	3.64	17.89	23.18	8.14	-5.59	20.39
	7.25	-5.11	3.98	17.53	170.15	318.83	21.97	16.14	9.23	17.99
	47.84	62.35	99.22	145.4	102.07	26.82	54.57	23.26	16.32	16.58
	11.73	7.06	5.85	4.91	2.95	1.46	5	4.46	3.47	2.53
	3.17	2.92	4.09	4.97	6.02	5.05	2.58	29.67	112.8	13.29
	11.08	32.5	110.17	117.93	188.95	140.39	128.64	22.79	20.59	17.16
	11.49	5.63	2.72	0.55	-0.54	-1.69	3.53	4.79	5.79	7.25
	30.8	35.75	7.31	-1.29	10.65	27.21	28.8	25.74	40.93	30.53
	29.42	28.06	28.22	6.16	4.49	23.59	76.44	43.04	5.78	5.37
	5.12	5.07	24.79	38.69	70.99	136.65	58.11	35.6	19.09	43.91
	48.46	23.61	17.38	16.89	10.57	8.81	6.53	5.92	9.07	7.16
	5.19	8.07	7.64	5.52	4.77	3.56	4.89	6.2	7.91	56.01
	32.68	21.17	35.93	69.16	163.86	299.75	329.7	294.42	282.09	210.66
	23.99	21.85	22.37	17.75	12.14	10.91	5.59	3.02	1.13	1.93
	0.18	4.21	60.94	98.66	49.51	17.51	48.79	72.14	74.12	60.28
	50.8	29.18	46.78	79.5	19.65	-1.87	5.66	42.11	53.11	22.05
	3.4	-2.61	-4.02	6.41	1.43	9.46	30.27	104.91	64.75	53.58
	17.36	15.02	33.7	13.29	16.39	17.29	13.92	12.37	11.28	8.46
	6.89	4.48	4.9	5.26	6.87	5.8	5.03	4.02	3.84	5.69
	6.6	17.36	41.61	51.72	27.14	67.98	155.74	546.22	519.35	180.99
	191.78	350.3	48.28	23.39	15.66	9.87	8.56	12	8.45	5.99
	2.43	0.96	3.4	3.51	19.48	38.72	106.43	105.07	143.78	94.46
	135.99	174.66	30.45	38.89	79.98	74.99	7.12	1.69	11.31	7.29
	16.9	27.21	18.91	15.25	3.46	2.74	2.68	4.05	3.37	20.27
	44.15	70.9	42.39	10.78	23.86	10.72	7.18	9.85	9.17	8.29
	8.06	6.56	7.2	5.82	7.74	7.05	7.18	6.56	6.09	5.28
	5.26	6.19	7.59	14.8	81.02	18.99	29.32	47.35	100.22	165.58
	30.87	23.93	16.9	80.55	37.64	13.75	15.29	7.4	13.8	10.69
	13.42	11.02	9.22	6.29	5.23	6.43	12.26	66.02	207.74	182.92
	176.93	195.75	193.93	189.57	199.8	204.85	145.67	69.51	15.2	8.85
	4.86	1.18	12.5	12.69	10.39	11.23	7.02	9.32	10.37	16.13
	9.8	13.36	25.36	57.21	50.86	21.37	4.48	8.04	8.92	8.44
	8.29	8.46	7.79	7.61	5	4.45	6.06	6.6	5.56	4.91
	4.61	4.69	5.71	7.19	8.91	8.03	13.96	20.94	27.7	24.45
	23.08	9.12	9.74	1.77	9.54	6.03	6.99	5.32	4.2	6.37
	10.65	12.36	11.43	9.36	8.11	5.68	5.55	6.63	70.96	106.78
	143.76	289.97	221.74	173.24	232.84	145.88	184.65	149.5	125.48	96.19
	86.51	69.23	53.95	47.12	35.95	30.79	66.76	9.37	8.81	5.64
	11.01	19.52	11.01	61.9	26.28	22.14	20.22	6.13	-5.12	4.98
	7.45	5.32	4.81	7.34	6.6	5.95	4.42	4.16	4.98	5.68
	4.46	5	4.58	4.61	6.77	9.27	-0.74	-4.64	-7.44	2.39
	5.7	2.87	0.38	0.55	9.68	7.1	8.72	3.86	3.21	2.09
	2.51	6.78	10.84	10.09	10.61	7.12	7.69	8.6	7.31	8.25
	54.58	131.98	26.11	44.68	197.58	72.9	116.34	163.5	123.43	92.64
	83.65	83.08	87.78	75.78	76.2	80.39	48.68	40.51	65.94	65.23
	20.59	-0.69	4.07	4.08	5.94	2.87	4.91	3.73	3.16	2.71
	5.17	6.33	5.84	4.95	2.44	5.15	5.19	4.64	4.23	3.29
	4.11	4.07	1.9	2.48	5.33	8.56	5.15	2.58	-2.09	-5.94
	-8.31	0.33	0.45	-0.55	0.39	4.14	7.19	7.26	6.5	3.59
	4.42	3.69	5.38	7.95	10.5	6.8	5.54	6.68	7.85	8.39
	7.09	7.47	11.61	49.34	16.68	31.61	82.55	120.51	61.17	119.13
	42.01	49.37	61.65	53.49	42.3	49.18	15.06	13.47	6.76	2.61
	4.57	7.01	3.77	-0.41	-1.5	-2.21	0.1	0.72	-1.24	-0.81
	-6.35	-5.2	1.18	3.3	3.04	3.52	2.65	4.22	3.89	4.42
	3.23	2.72	3.68	2.84	-4.2	-2.27	1.24	2.76	1.05	0.96
	4.1	-3.88	-10.11	-5.33	-1.88	-0.02	1.38	2.79	5.89	4.87
	3.14	2.39	1.85	2.49	4.54	6.38	2.17	1.49	7.22	5.94
	7.46	7.32	7.22	6.09	5.68	6.87	8.58	14.86	10.21	11.74
	57.14	38.17	14.02	18.92	35.19	12.22	2.95	8.18	1.04	16.14
	4.17	0.96	-2.43	-3.49	-3.54	-5.08	-3.15	-4.76	-4.16	-4.13
	-5.04	-2	-1.92	-1.03	1.25	0.64	-0.07	1.78	3.78	1.81
	1.77	1.97	0.98	1.62	3.03	2.01	-1.76	-0.99	-1.89	-1.34
	0.82	-1.24	-3.46	-3.77	-1.32	-0.78	0.5	2.64	2.4	1.64
	3.5	1.27	2.13	1.87	0.83	1.09	2.45	2.03	1.38	0.79
	3.3	3.31	6.1	5.3	3.44	6.38	2.66	3.45	5.84	6.7
	6.95	4.88	9.9	9.98	-0.46	4.07	5.56	6.61	3.25	2.49
	3.47	5.51	5.33	2.43	1.45	1.23	2.57	3.44	0.46	-2.98
	-1.16	-0.04	-1.54	2.12	-0.11	-0.06	-0.25	-2.48	-3.51	-2.44
	0.26	0.8	0.54	0.58	1.98	2.95	3.31	2.23	0.78	1.22
	1.62	2.11	2.53	2.69	2.32	2.19	1.51	1.47	1.49	1.51
	1.56	0.89	2.14	0.67	1.34	1.92	1.16	1.67	1.94	1.57
	1.03	0.7	0.45	0.62	0.79	0.91	2.36	2.52	3.29	3.55
	5.65	5.74	6.37	7.4	6.66	4.16	6.95	8.9	8.31	7.75
	6.76	5.92	7.18	6.66	3.73	4.9	3.84	2.55	1.61	1.77
	0.72	1.03	-0.43	-0.96	0.07	1.18	0.89	0.55	-0.42	-0.57
	0.31	0.4	1.46	1.65	1.86	1.55	2.05	2.18	2.28	2.14
	1.68	2.09	2.05	2.36	2.56	2.93	2.67	2.26	1.13	0.62
	0.56	0.62	0.38	0.39	0.91	0.26	1.14	1.45	1.22	1.55
	1.7	0.9	0.72	0.43	0.36	0.46	0.62	0.57	1.96	3.07
	3.86	3.98	5.15	5.8	6.31	5.72	4.2	6	7.7	7.03
	6.92	8.29	6.44	3.03	3.05	3.9	2.87	3.01	2.17	2.07
	1.16	0.94	0.88	0.76	0.83	1.25	1.81	1.45	1.54	1.63
	0.96	1.34	1.09	1.75	1.31	1.67	2.21	1.71	1.5	1.45
	1.38	1.31	1.38	1.38	1.42	1.6	1.89	2.17	2.04	1.58
	1.25	1.05	0.96	1.15	0.99	0.44	0.44	0.08	0.46	0.61
	0.44	0.46	0.49	0.55	0.42	0.29	0.28	0.3	0.4	0.41
	0.71	1.23	1.85	2.64	4.17	4.14	3.48	1.82	1.9	2.19
	3.12	3.68	3.84	3.75	3.73	3.21	2.28	2.02	1.84	1.81
	1.62	1.97	1.55	1.35	1.07	1.1	1.23	1.06	1.08	1.58
	1.62	2.01	1.77	1.61	1.55	1.36	1.26	1.16	1.5	1.73
	1.16	1.15	1.27	1.16	1.26	1.43	1.34	1.26	1.38	1.37
